symbol,type,voicing,place,manner,height,backness,roundedness
p,consonant,voiceless,bilabial,plosive,,,
b,consonant,voiced,bilabial,plosive,,,
t,consonant,voiceless,alveolar,plosive,,,
d,consonant,voiced,alveolar,plosive,,,
ʈ,consonant,voiceless,retroflex,plosive,,,
ɖ,consonant,voiced,retroflex,plosive,,,
c,consonant,voiceless,palatal,plosive,,,
ɟ,consonant,voiced,palatal,plosive,,,
k,consonant,voiceless,velar,plosive,,,
ɡ,consonant,voiced,velar,plosive,,,
q,consonant,voiceless,uvular,plosive,,,
ɢ,consonant,voiced,uvular,plosive,,,
ʔ,consonant,voiceless,glottal,plosive,,,
m,consonant,voiced,bilabial,nasal,,,
ɱ,consonant,voiced,labiodental,nasal,,,
n,consonant,voiced,alveolar,nasal,,,
ɳ,consonant,voiced,retroflex,nasal,,,
ɲ,consonant,voiced,palatal,nasal,,,
ŋ,consonant,voiced,velar,nasal,,,
ɴ,consonant,voiced,uvular,nasal,,,
ʙ,consonant,voiced,bilabial,trill,,,
r,consonant,voiced,alveolar,trill,,,
ʀ,consonant,voiced,uvular,trill,,,
ⱱ,consonant,voiced,labiodental,tap,,,
ɾ,consonant,voiced,alveolar,tap,,,
ɽ,consonant,voiced,retroflex,tap,,,
ɸ,consonant,voiceless,bilabial,fricative,,,
β,consonant,voiced,bilabial,fricative,,,
f,consonant,voiceless,labiodental,fricative,,,
v,consonant,voiced,labiodental,fricative,,,
θ,consonant,voiceless,dental,fricative,,,
ð,consonant,voiced,dental,fricative,,,
s,consonant,voiceless,alveolar,fricative,,,
z,consonant,voiced,alveolar,fricative,,,
ʃ,consonant,voiceless,postalveolar,fricative,,,
ʒ,consonant,voiced,postalveolar,fricative,,,
ʂ,consonant,voiceless,retroflex,fricative,,,
ʐ,consonant,voiced,retroflex,fricative,,,
ç,consonant,voiceless,palatal,fricative,,,
ʝ,consonant,voiced,palatal,fricative,,,
x,consonant,voiceless,velar,fricative,,,
ɣ,consonant,voiced,velar,fricative,,,
χ,consonant,voiceless,uvular,fricative,,,
ʁ,consonant,voiced,uvular,fricative,,,
ħ,consonant,voiceless,pharyngeal,fricative,,,
ʕ,consonant,voiced,pharyngeal,fricative,,,
h,consonant,voiceless,glottal,fricative,,,
ɦ,consonant,voiced,glottal,fricative,,,
ɬ,consonant,voiceless,alveolar,lateral-fricative,,,
ɮ,consonant,voiced,alveolar,lateral-fricative,,,
ʋ,consonant,voiced,labiodental,approximant,,,
ɹ,consonant,voiced,alveolar,approximant,,,
ɻ,consonant,voiced,retroflex,approximant,,,
j,consonant,voiced,palatal,approximant,,,
ɰ,consonant,voiced,velar,approximant,,,
l,consonant,voiced,alveolar,lateral-approximant,,,
ɭ,consonant,voiced,retroflex,lateral-approximant,,,
ʎ,consonant,voiced,palatal,lateral-approximant,,,
ʟ,consonant,voiced,velar,lateral-approximant,,,
i,vowel,,,,,close,front,unrounded
y,vowel,,,,,close,front,rounded
ɨ,vowel,,,,,close,central,unrounded
ʉ,vowel,,,,,close,central,rounded
ɯ,vowel,,,,,close,back,unrounded
u,vowel,,,,,close,back,rounded
ɪ,vowel,,,,,near-close,front,unrounded
ʏ,vowel,,,,,near-close,front,rounded
ʊ,vowel,,,,,near-close,back,rounded
e,vowel,,,,,close-mid,front,unrounded
ø,vowel,,,,,close-mid,front,rounded
ɘ,vowel,,,,,close-mid,central,unrounded
ɵ,vowel,,,,,close-mid,central,rounded
ɤ,vowel,,,,,close-mid,back,unrounded
o,vowel,,,,,close-mid,back,rounded
ə,vowel,,,,,mid,central,unrounded
ɛ,vowel,,,,,open-mid,front,unrounded
œ,vowel,,,,,open-mid,front,rounded
ɜ,vowel,,,,,open-mid,central,unrounded
ɞ,vowel,,,,,open-mid,central,rounded
ʌ,vowel,,,,,open-mid,back,unrounded
ɔ,vowel,,,,,open-mid,back,rounded
æ,vowel,,,,,near-open,front,unrounded
ɐ,vowel,,,,,near-open,central,unrounded
a,vowel,,,,,open,front,unrounded
ɶ,vowel,,,,,open,front,rounded
ɑ,vowel,,,,,open,back,unrounded
ɒ,vowel,,,,,open,back,rounded
