,War,Fertility,Wisdom,Love,Nature,Sea,Sky,Forests,Underworld,Horses,Metals,Storms,Music,Trade,Wind,Fire,Death,Darkness,Sun,Travel,Moon,Order,Chaos,Mountains,Winter,Water,Law
War,1.0,0.24440979957580566,0.295149564743042,0.4309144616127014,0.3457081913948059,0.40380847454071045,0.3675771951675415,0.31707510352134705,0.2984914183616638,0.3336857557296753,0.31655701994895935,0.37088942527770996,0.43999892473220825,0.35635578632354736,0.41993144154548645,0.5189794898033142,0.5209308862686157,0.4141126871109009,0.36002281308174133,0.35427799820899963,0.41029495000839233,0.2903777062892914,0.4174387753009796,0.2861900329589844,0.4544559419155121,0.41232720017433167,0.43425726890563965
Fertility,0.24440979957580566,1.0,0.16101756691932678,0.25623899698257446,0.27740684151649475,0.16617728769779205,0.19394786655902863,0.16235777735710144,0.06331923604011536,0.2397330105304718,0.16562657058238983,0.12960746884346008,0.16160808503627777,0.09231695532798767,0.21800458431243896,0.18484525382518768,0.27224844694137573,0.17644880712032318,0.20833484828472137,0.14443637430667877,0.20301851630210876,0.10585623979568481,0.1937912255525589,0.13990184664726257,0.16887350380420685,0.22618286311626434,0.23208867013454437
Wisdom,0.295149564743042,0.16101756691932678,1.0,0.34475281834602356,0.29269543290138245,0.24130043387413025,0.29250070452690125,0.24371030926704407,0.20722641050815582,0.3205498456954956,0.1851954460144043,0.23322820663452148,0.29059088230133057,0.2249578833580017,0.2368565797805786,0.3552436828613281,0.3579939007759094,0.29973986744880676,0.3149348795413971,0.22708682715892792,0.2989792227745056,0.2839038670063019,0.2827027142047882,0.2323799729347229,0.20217691361904144,0.3376654386520386,0.23165522515773773
Love,0.4309144616127014,0.25623899698257446,0.34475281834602356,1.0,0.30248939990997314,0.2793881595134735,0.3143102526664734,0.21040606498718262,0.23292458057403564,0.29539838433265686,0.23344764113426208,0.2512848973274231,0.37424519658088684,0.37354815006256104,0.2866726219654083,0.4254937767982483,0.44438400864601135,0.3343300521373749,0.3254757523536682,0.2794875502586365,0.28804153203964233,0.29040324687957764,0.3289109468460083,0.2320411205291748,0.32010287046432495,0.3314150273799896,0.30055519938468933
Nature,0.3457081913948059,0.27740684151649475,0.29269543290138245,0.30248939990997314,1.0,0.4268569052219391,0.40885108709335327,0.5384224057197571,0.3395269513130188,0.33212247490882874,0.36331456899642944,0.38559484481811523,0.3903346359729767,0.24021974205970764,0.4128723442554474,0.41160261631011963,0.32013386487960815,0.37120679020881653,0.4283164143562317,0.27051153779029846,0.43306678533554077,0.2857402265071869,0.35810941457748413,0.4324275255203247,0.39882126450538635,0.45100894570350647,0.3487548232078552
Sea,0.40380847454071045,0.16617728769779205,0.24130043387413025,0.2793881595134735,0.4268569052219391,1.0,0.4193110466003418,0.30943751335144043,0.3592000901699066,0.3278273940086365,0.31382930278778076,0.3008785545825958,0.37785911560058594,0.2794435918331146,0.3673577606678009,0.37388134002685547,0.3096020221710205,0.31444063782691956,0.3676185607910156,0.36036306619644165,0.4325386881828308,0.3063057065010071,0.3091045618057251,0.3847346305847168,0.33478236198425293,0.552457332611084,0.34217241406440735
Sky,0.3675771951675415,0.19394786655902863,0.29250070452690125,0.3143102526664734,0.40885108709335327,0.4193110466003418,1.0,0.4042472839355469,0.4099891185760498,0.2351229190826416,0.1994154453277588,0.4467511475086212,0.34261757135391235,0.2519564628601074,0.5163891315460205,0.3723291754722595,0.3408617079257965,0.488150954246521,0.5519417524337769,0.33717048168182373,0.5033022165298462,0.2723166346549988,0.32342830300331116,0.44533616304397583,0.38343608379364014,0.3428761065006256,0.2581923305988312
Forests,0.31707510352134705,0.16235777735710144,0.24371030926704407,0.21040606498718262,0.5384224057197571,0.30943751335144043,0.4042472839355469,1.0,0.3541673421859741,0.3687551021575928,0.1858426183462143,0.36940932273864746,0.310935378074646,0.23354338109493256,0.3103637099266052,0.3820899426937103,0.26910462975502014,0.31712448596954346,0.31384286284446716,0.27585625648498535,0.3092671036720276,0.21543601155281067,0.25735726952552795,0.49654054641723633,0.33529403805732727,0.3108581602573395,0.31004366278648376
Underworld,0.2984914183616638,0.06331923604011536,0.20722641050815582,0.23292458057403564,0.3395269513130188,0.3592000901699066,0.4099891185760498,0.3541673421859741,1.0,0.2537907660007477,0.25199949741363525,0.2496246099472046,0.3464197516441345,0.22920094430446625,0.23651406168937683,0.3656270205974579,0.3999938666820526,0.4841231107711792,0.3336954712867737,0.2793305814266205,0.39559751749038696,0.25256121158599854,0.45714259147644043,0.26469260454177856,0.25664448738098145,0.2467411756515503,0.27223074436187744
Horses,0.3336857557296753,0.2397330105304718,0.3205498456954956,0.29539838433265686,0.33212247490882874,0.3278273940086365,0.2351229190826416,0.3687551021575928,0.2537907660007477,1.0,0.23477579653263092,0.26893648505210876,0.33885878324508667,0.23068909347057343,0.2944386303424835,0.31179556250572205,0.3016173839569092,0.2826957106590271,0.24396422505378723,0.2767581641674042,0.4066532254219055,0.28571414947509766,0.23335513472557068,0.35429880023002625,0.32895272970199585,0.35479894280433655,0.2791687250137329
